index,code,name,market,count
JPX-Nikkei 400,8766,東京海上ホールディングス,プライム,13
JPX-Nikkei 400,8801,三井不動産,プライム,13
JPX-Nikkei 400,8802,三菱地所,プライム,13
JPX-Nikkei 400,8804,東京建物,プライム,11
JPX-Nikkei 400,8830,住友不動産,プライム,13
JPX-Nikkei 400,8848,レオパレス２１,プライム,6
JPX-Nikkei 400,8850,スターツコーポレーション,プライム,11
JPX-Nikkei 400,8876,リログループ,プライム,12
JPX-Nikkei 400,8919,カチタス,プライム,5
JPX-Nikkei 400,8923,トーセイ,プライム,1
JPX-Nikkei 400,9005,東急,プライム,9
JPX-Nikkei 400,9006,京浜急行電鉄,プライム,2
JPX-Nikkei 400,9007,小田急電鉄,プライム,10
JPX-Nikkei 400,9008,京王電鉄,プライム,9
JPX-Nikkei 400,9009,京成電鉄,プライム,9
JPX-Nikkei 400,9021,西日本旅客鉄道,プライム,9
JPX-Nikkei 400,9022,東海旅客鉄道,プライム,12
JPX-Nikkei 400,9024,西武ホールディングス,プライム,6
JPX-Nikkei 400,9041,近鉄グループホールディングス,プライム,10
JPX-Nikkei 400,9064,ヤマトホールディングス,プライム,13
JPX-Nikkei 400,9065,山九,プライム,13
JPX-Nikkei 400,9069,センコーグループホールディングス,プライム,5
JPX-Nikkei 400,9090,ＡＺ－ＣＯＭ丸和ホールディングス,プライム,5
JPX-Nikkei 400,9101,日本郵船,プライム,7
JPX-Nikkei 400,9104,商船三井,プライム,5
JPX-Nikkei 400,9107,川崎汽船,プライム,4
JPX-Nikkei 400,9110,ＮＳユナイテッド海運,プライム,3
JPX-Nikkei 400,9119,飯野海運,プライム,2
JPX-Nikkei 400,9142,九州旅客鉄道,プライム,3
JPX-Nikkei 400,9143,ＳＧホールディングス,プライム,5
JPX-Nikkei 400,9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム,5
JPX-Nikkei 400,9201,日本航空,プライム,6
JPX-Nikkei 400,9202,ＡＮＡホールディングス,プライム,9
JPX-Nikkei 400,9302,三井倉庫ホールディングス,プライム,4
JPX-Nikkei 400,9418,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,プライム,5
JPX-Nikkei 400,9432,ＮＴＴ,プライム,13
JPX-Nikkei 400,9433,ＫＤＤＩ,プライム,13
JPX-Nikkei 400,9434,ソフトバンク,プライム,4
JPX-Nikkei 400,9435,光通信,プライム,13
JPX-Nikkei 400,9449,ＧＭＯインターネットグループ,プライム,10
JPX-Nikkei 400,9502,中部電力,プライム,10
JPX-Nikkei 400,9503,関西電力,プライム,9
JPX-Nikkei 400,9506,東北電力,プライム,7
JPX-Nikkei 400,9507,四国電力,プライム,1
JPX-Nikkei 400,9508,九州電力,プライム,7
JPX-Nikkei 400,9509,北海道電力,プライム,4
JPX-Nikkei 400,9513,電源開発,プライム,13
JPX-Nikkei 400,9531,東京瓦斯,プライム,13
JPX-Nikkei 400,9532,大阪瓦斯,プライム,13
JPX-Nikkei 400,9602,東宝,プライム,13
JPX-Nikkei 400,9684,スクウェア・エニックス・ホールディングス,プライム,9
JPX-Nikkei 400,9697,カプコン,プライム,9
JPX-Nikkei 400,9719,ＳＣＳＫ,プライム,13
JPX-Nikkei 400,9735,セコム,プライム,13
JPX-Nikkei 400,9744,メイテックグループホールディングス,プライム,9
JPX-Nikkei 400,9759,ＮＳＤ,プライム,4
JPX-Nikkei 400,9766,コナミグループ,プライム,11
JPX-Nikkei 400,9843,ニトリホールディングス,プライム,13
JPX-Nikkei 400,9962,ミスミグループ本社,プライム,13
JPX-Nikkei 400,9983,ファーストリテイリング,プライム,13
JPX-Nikkei 400,9984,ソフトバンクグループ,プライム,12
JPX-Nikkei 400,9989,サンドラッグ,プライム,13
