項目名,出現回数,コンテキストID,連結・個別,期間・時点,単位
長期投資及び短期投資明細表、電気事業 [テキストブロック],40,CurrentYearDuration,その他,期間,－
貨物運賃、海運業収益,40,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
当座貸越、貸出金、資産の部、銀行業,40,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
証書貸付、貸出金、資産の部、銀行業,40,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
合併関連費用、特別損失,40,Prior1YTDDuration,連結,期間,円
外国他店預け、外国為替、資産の部、銀行業,40,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
現金、現金預け金、資産の部、銀行業,40,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
預け金、現金預け金、資産の部、銀行業,40,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
株式、有価証券、資産の部、銀行業,40,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
その他の証券、有価証券、資産の部、銀行業,40,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
退職給付に係る負債、負債（IFRS）,39,Prior1YearInstant,その他,時点,円
注記事項－他の企業への関与、連結財務諸表（IFRS） [テキストブロック],39,CurrentYearDuration,その他,期間,－
仕入債務、流動負債（IFRS）,39,Prior1YearInstant,その他,時点,円
減損損失累計額、建物,39,CurrentYearInstant,連結,時点,円
注記事項－営業費用、連結財務諸表（IFRS） [テキストブロック],39,CurrentYearDuration,その他,期間,－
注記事項－その他の営業費用、連結財務諸表（IFRS） [テキストブロック],39,CurrentYearDuration,その他,期間,－
有価証券評価損の内訳 [テキストブロック],39,InterimDuration_NonConsolidatedMember,その他,期間,－
有価証券、資産（IFRS）,39,Prior1YearInstant,その他,時点,円
受取配当金の合計額、非上場株式、保有目的が純投資目的である投資株式、投資株式計上額が次に大きい会社,38,CurrentYearDuration,その他,期間,円
売却損益の合計額、非上場株式、保有目的が純投資目的である投資株式、投資株式計上額が次に大きい会社,38,CurrentYearDuration,その他,期間,円
売却損益の合計額、非上場株式以外の株式、保有目的が純投資目的である投資株式、投資株式計上額が次に大きい会社,38,CurrentYearDuration,その他,期間,円
受取配当金の合計額、非上場株式以外の株式、保有目的が純投資目的である投資株式、投資株式計上額が次に大きい会社,38,CurrentYearDuration,その他,期間,円
複合金融商品評価益、営業外収益,38,Prior1YTDDuration,連結,期間,円
過年度法人税等戻入額、法人税等,38,Prior1YTDDuration,連結,期間,円
買取債権回収高、営業活動による収益,38,Prior1YTDDuration,連結,期間,円
会計基準等の改正等以外の正当な理由による会計方針の変更、連結財務諸表 [テキストブロック],38,CurrentYearDuration,その他,期間,－
原子力発電工事償却準備金引当又は取崩し、電気事業,38,Prior1YTDDuration,連結,期間,円
長期預け金,38,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
債権買取原価、営業活動による費用・売上原価,38,Prior1YTDDuration,連結,期間,円
信用取引資産、流動資産、第一種金融商品取引業,38,Prior1YearInstant,連結,時点,円
発送運賃、販売費及び一般管理費,38,Prior1YearDuration,連結,期間,円
その他の経常費用、経常費用、保険業,38,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
注記事項－その他の投資、連結財務諸表（IFRS） [テキストブロック],38,CurrentYearDuration,その他,期間,－
注記事項－その他の営業収益、連結財務諸表（IFRS） [テキストブロック],38,CurrentYearDuration,その他,期間,－
信用取引負債、流動負債、第一種金融商品取引業,38,Prior1YearInstant,連結,時点,円
注記事項－その他の金融負債、要約四半期連結財務諸表（IFRS） [テキストブロック],38,CurrentYTDDuration,その他,期間,－
償却債権取立益、特別利益,38,Prior1YTDDuration,連結,期間,円
無形固定資産償却費、営業活動によるキャッシュ・フロー,38,Prior1YTDDuration,連結,期間,円
金融商品関係、四半期財務諸表 [テキストブロック],38,CurrentYTDDuration,その他,期間,－
海運業未収金、流動資産、海運業,38,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
契約資産（純額）,37,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
注記事項－のれん、連結財務諸表（IFRS） [テキストブロック],37,CurrentYearDuration,その他,期間,－
その他の営業収益、特定金融業,36,Prior1YTDDuration,連結,期間,円
短期投資、流動資産、電気事業,36,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
給料手当及び福利費、販売費及び一般管理費,36,Prior1YTDDuration,連結,期間,円
複合金融商品評価損、営業外費用,36,Prior1YTDDuration,連結,期間,円
複合金融商品評価損益（△は益）、営業活動によるキャッシュ・フロー,36,Prior1YTDDuration,連結,期間,円
会員預り金,36,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
有利子負債、負債（IFRS）,36,Prior1YearInstant,その他,時点,円
業務設備、有形固定資産、ガス事業,36,Prior1YearInstant,連結,時点,円
供給販売費及び一般管理費、ガス事業,36,Prior1YTDDuration,連結,期間,円
供給設備、有形固定資産、ガス事業,36,Prior1YearInstant,連結,時点,円
訴訟関連損失（IFRS）,36,Prior1YearDuration,その他,期間,円
減損損失累計額、機械及び装置,36,Prior1YearInstant,連結,時点,円
正規雇用労働者、女性の職業生活における活躍の推進に関する法律の規定に基づき算出、男性労働者の育児休業取得率、提出会社の指標,36,CurrentYearInstant_NonConsolidatedMember,その他,時点,
金利スワップ支払利息、経常費用、銀行業,36,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
助成金収入、特別利益,36,Prior1YearDuration,連結,期間,円
賃貸等不動産関係、中間連結財務諸表 [テキストブロック],36,InterimDuration,その他,期間,－
教育研修費、販売費及び一般管理費,36,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
関係会社売掛金,36,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
出資金評価損、営業活動によるキャッシュ・フロー,36,Prior1YearDuration,連結,期間,円
現金及び現金同等物、受取利息（IFRS）,36,Prior1YearDuration,その他,期間,円
売上債権、資産（IFRS）,36,Prior1YearInstant,その他,時点,円
消費税等の会計処理 [テキストブロック],36,CurrentYearDuration_NonConsolidatedMember,その他,期間,－
注記事項－金融費用、要約四半期連結財務諸表（IFRS） [テキストブロック],36,CurrentYTDDuration,その他,期間,－
訴訟和解金の支払額、営業活動によるキャッシュ・フロー,36,Prior1YTDDuration,連結,期間,円
短期社債の発行による収入、財務活動によるキャッシュ・フロー,36,Prior1YTDDuration,連結,期間,円
業務委託費、売上原価（IFRS）,36,Prior1YearDuration,その他,期間,円
貸倒引当金戻入益、経常収益、銀行業,36,Prior1YearDuration,連結,期間,円
製造設備、有形固定資産、ガス事業,36,Prior1YearInstant,連結,時点,円
事業整理損失引当金戻入額、特別利益,35,Prior1YearDuration,連結,期間,円
所有株式数（普通株式以外）、役員の状況（執行役）（議案）,35,FilingDateInstant_jpcrp030000-asr_E00989-000TaikoToshimitsuMember,その他,時点,
注記事項－その他の金融資産、要約四半期連結財務諸表（IFRS） [テキストブロック],35,CurrentYTDDuration,その他,期間,－
連結包括利益計算書（US GAAP） [テキストブロック],35,CurrentYearDuration,その他,期間,－
のれん及び負ののれんの表示に関する注記 [テキストブロック],35,CurrentQuarterInstant,その他,時点,－
連結資本勘定計算書（US GAAP） [テキストブロック],35,CurrentYearDuration,その他,期間,－
連結損益計算書（US GAAP） [テキストブロック],35,CurrentYearDuration,その他,期間,－
連結貸借対照表 （US GAAP） [テキストブロック],35,CurrentYearDuration,その他,期間,－
連結キャッシュ・フロー計算書（US GAAP） [テキストブロック],35,CurrentYearDuration,その他,期間,－
連結財務諸表注記事項（US GAAP） [テキストブロック],35,CurrentYearDuration,その他,期間,－
特定都市鉄道整備準備金取崩額、特別利益、鉄道事業,34,Prior1YTDDuration,連結,期間,円
投資損失引当金、資産の部、保険業,34,Prior1YearInstant,連結,時点,円
預り金、流動負債、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
現先取引借入金、流動負債、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
信用取引貸証券受入金、流動負債、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
信用取引貸付金、流動資産、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
有価証券貸借取引受入金、流動負債、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
信用取引借入金、流動負債、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
割賦利益繰延の増減額（△は減少）、営業活動によるキャッシュ・フロー,34,Prior1YTDDuration,連結,期間,円
債務勘定整理益、営業外収益,34,CurrentYTDDuration_NonConsolidatedMember,個別,期間,円
商品有価証券等、流動資産、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
デリバティブ取引、流動資産、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
特定都市鉄道整備準備金、鉄道事業,34,Prior1YearInstant,連結,時点,円
営業債務、非流動負債（IFRS）,34,Prior1YearInstant,その他,時点,円
デリバティブ取引、流動負債、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
約定見返勘定、流動負債、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
特別法上の準備金等に関する注記 [テキストブロック],34,CurrentYearInstant,その他,時点,－
減損損失累計額、有形固定資産、一括控除,34,Prior1YearInstant,連結,時点,円
仕入債務及びその他の債務、非流動負債（IFRS）,34,Prior1YearInstant,その他,時点,円
トレーディング損益、営業収益、第一種金融商品取引業,34,Prior1YTDDuration,連結,期間,円
募集・売出し・特定投資家向け売付け勧誘等の取扱手数料、営業収益、第一種金融商品取引業,34,Prior1YTDDuration,連結,期間,円
有形及び無形固定資産、電気事業,34,Prior1YearInstant,連結,時点,円
未払事業所税,34,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
商品有価証券等、流動負債、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
有価証券担保貸付金、流動資産、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
子会社整理損、特別損失,34,Prior1YTDDuration,連結,期間,円
現先取引貸付金、流動資産、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
信用取引借証券担保金、流動資産、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
連結範囲の変動に伴う為替換算調整勘定の増減,34,Prior1YearDuration_RetainedEarningsMember,連結,期間,円
受入手数料、営業収益、第一種金融商品取引業,34,Prior1YTDDuration,連結,期間,円
借入有価証券担保金、流動資産、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
訴訟関連損失の支払額、営業活動によるキャッシュ・フロー,34,Prior1YearDuration,連結,期間,円
金融収益、営業収益、第一種金融商品取引業,34,Prior1YTDDuration,連結,期間,円
純営業収益、第一種金融商品取引業,34,Prior1YTDDuration,連結,期間,円
その他の受入手数料、営業収益、第一種金融商品取引業,34,Prior1YTDDuration,連結,期間,円
受取事務手数料、営業外収益,34,Prior1YTDDuration,連結,期間,円
委託手数料、営業収益、第一種金融商品取引業,34,Prior1YTDDuration,連結,期間,円
引受け・売出し・特定投資家向け売付け勧誘等の手数料、営業収益、第一種金融商品取引業,34,Prior1YTDDuration,連結,期間,円
立替金、流動資産、第一種金融商品取引業,34,Prior1YearInstant,連結,時点,円
配当準備積立金の積立,34,Prior1YearDuration_NonConsolidatedMember_ReserveForDividends3Member,個別,期間,円
その他の収入、財務活動によるキャッシュ・フロー,34,Prior1YTDDuration,連結,期間,円
倉庫保管料、営業活動による収益,34,Prior1YTDDuration,連結,期間,円
倉庫荷役料、営業活動による収益,34,Prior1YTDDuration,連結,期間,円
運送収入、営業活動による収益,34,Prior1YTDDuration,連結,期間,円
加盟店貸勘定,34,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
営業総収入,34,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
店舗閉鎖損失引当金戻入額、特別利益,34,Prior1YearDuration,連結,期間,円
受取手形・完成工事未収入金、建設業,34,Prior1YearInstant,連結,時点,円
固定資産売却損、営業活動によるキャッシュ・フロー,33,Prior1YTDDuration,連結,期間,円
有価証券売却益の内訳 [テキストブロック],33,InterimDuration_NonConsolidatedMember,その他,期間,－
償却資産圧縮積立金の積立,33,CurrentYearDuration_NonConsolidatedMember_ReserveForReductionEntryOfDepreciableAssetsMember,個別,期間,円
保有目的、定量的な保有効果及び株式数が増加した理由、保有目的が純投資目的以外の目的であるみなし保有株式の明細、投資株式計上額が次に大きい会社,33,CurrentYearInstant_Row1Member,その他,時点,－
事業再編損、営業活動によるキャッシュ・フロー,32,Prior1YTDDuration,連結,期間,円
子会社の自己株式の処分による収入、財務活動によるキャッシュ・フロー,32,Prior1InterimDuration,連結,期間,円
旅費交通費、売上原価（IFRS）,32,Prior1YearDuration,その他,期間,円
原賠・廃炉等支援機構資金交付金、特別利益、電気事業,32,Prior1YTDDuration,連結,期間,円
外国為替売買益、経常収益、銀行業,32,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
退職給付信託設定益、特別利益,32,Prior1YTDDuration,連結,期間,円
投資損失引当金繰入額、経常費用、保険業,32,Prior1InterimDuration,連結,期間,円
営業利益又は営業損失（△）（US GAAP）、経営指標等,32,Prior1YTDDuration,その他,期間,円
訴訟和解金、営業活動によるキャッシュ・フロー,32,Prior1YTDDuration,連結,期間,円
注記事項－会計方針の変更、連結財務諸表（IFRS） [テキストブロック],32,CurrentYearDuration,その他,期間,－
関係会社株式売却損（IFRS）,32,Prior1YearDuration,その他,期間,円
廃炉円滑化負担金相当収益、電気事業営業収益、電気事業,32,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
売電費用、営業外費用,32,Prior1YearDuration,連結,期間,円
賠償負担金相当収益、電気事業営業収益、電気事業,32,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
関係会社長期未収入金,32,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
固定資産廃棄損、営業外費用,32,Prior1YearDuration,連結,期間,円
雇用調整助成金、営業活動によるキャッシュ・フロー,32,Prior1YearDuration,連結,期間,円
関係会社事業損失引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,32,Prior1YTDDuration,連結,期間,円
関係会社支援損、特別損失,32,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
国債等債券売却損、経常費用、銀行業,32,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
社用資産の売却による収入、投資活動によるキャッシュ・フロー,32,Prior1YTDDuration,連結,期間,円
未払酒税,32,Prior1YearInstant,連結,時点,円
重要な営業外収益の注記 [テキストブロック],32,InterimDuration_NonConsolidatedMember,その他,期間,－
短期社債の償還による支出、財務活動によるキャッシュ・フロー,32,Prior1InterimDuration,連結,期間,円
正規雇用労働者、育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則第71条の4第1号における割合を算出、男性労働者の育児休業取得率、提出会社の指標,32,CurrentYearInstant_NonConsolidatedMember,その他,時点,
抱合せ株式消滅差損益（△は益）、営業活動によるキャッシュ・フロー,31,Prior1YTDDuration,連結,期間,円
賃貸等不動産関係、財務諸表 [テキストブロック],31,CurrentYearDuration,その他,期間,－
法人税及び住民税、保険業,30,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
匿名組合出資金の払込による支出、投資活動によるキャッシュ・フロー,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
福利厚生費、営業費用、特定金融業,30,Prior1YTDDuration,連結,期間,円
減価償却費、営業費用、特定金融業,30,Prior1YTDDuration,連結,期間,円
未収金、資産の部、保険業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
その他事業費用、海運業,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
その他事業収益、海運業,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
普通預金、預金、負債の部、銀行業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
投資損失引当金戻入額、営業外収益,30,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
その他事業利益又はその他事業損失（△）、海運業,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
受注工事損失引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,30,Prior1YTDDuration,連結,期間,円
信託受益権の売却による収入、投資活動によるキャッシュ・フロー,30,Prior1YTDDuration,連結,期間,円
貸出金償却、経常費用、銀行業,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
その他の預金、預金、負債の部、銀行業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
定期預金、預金、負債の部、銀行業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
その他の販売費、販売費及び一般管理費,30,Prior1YTDDuration,連結,期間,円
会社名・代表者の役職氏名及び本店の所在の場所 [テキストブロック],30,FilingDateInstant,その他,時点,－
国債、有価証券、資産の部、銀行業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
金融商品取引責任準備金取崩額、特別利益、銀行業,30,Prior1InterimDuration,連結,期間,円
地代家賃、販売費及び一般管理費（IFRS）,30,Prior1YearDuration,その他,期間,円
賃借料、営業費用、特定金融業,30,Prior1YTDDuration,連結,期間,円
器具備品（純額）、有形固定資産、第一種金融商品取引業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
器具及び備品、有形固定資産、海運業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
外国証券、資産の部、保険業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
株式、資産の部、保険業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
投資有価証券償還損、特別損失,30,Prior1YTDDuration,連結,期間,円
開示対象特別目的会社の概要、開示対象特別目的会社との取引の概要及び取引金額その他の重要な事項 [テキストブロック],30,CurrentYearDuration,その他,期間,－
自社利用ソフトウエア、取得原価（IFRS）,30,Prior1YearInstant,その他,時点,円
自社利用ソフトウエア（IFRS）,30,Prior1YearInstant,その他,時点,円
その他、営業費用、特定金融業,30,Prior1YearDuration,連結,期間,円
その他の証券、資産の部、保険業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
不動産事業未収入金,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
光熱費、販売費及び一般管理費,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
その他の業務収益、経常収益、銀行業,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
不動産賃貸事業収入、営業収益、関連事業、鉄道事業,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
災害損失引当金戻入額、特別利益,30,Prior1YTDDuration,連結,期間,円
貸与資産（純額）,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
自社利用ソフトウエア、償却累計額及び減損損失累計額（IFRS）,30,Prior1YearInstant,その他,時点,円
売上原価、営業費、関連事業、鉄道事業,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
会員権売却益、特別利益,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
営業貸付収益、売上高、リース事業,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
社債、資産の部、保険業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
地方債、資産の部、保険業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
国債、資産の部、保険業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
減価償却累計額、器具及び備品、海運業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
通信費、販売費及び一般管理費（IFRS）,30,Prior1YearDuration,その他,期間,円
投資有価証券償還損益（△は益）、営業活動によるキャッシュ・フロー,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
金利スワップ評価益、営業外収益,30,Prior1YTDDuration,連結,期間,円
株式等売却損、経常費用、銀行業,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
その他、建設仮勘定、鉄道事業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
特別償却積立金,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
発行数（株）、発行済株式、株式の総数等,30,FilingDateInstant_OrdinaryShareMember,その他,時点,
資産圧縮積立金,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
投資有価証券償還益、特別利益,30,Prior1YTDDuration,連結,期間,円
会計基準等の改正等以外の正当な理由による会計方針の変更、財務諸表 [テキストブロック],30,CurrentYearDuration,その他,期間,－
金銭の信託運用益、経常収益、銀行業,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
注記事項－繰延税金、連結財務諸表（IFRS） [テキストブロック],30,CurrentYearDuration,その他,期間,－
賃貸借契約解約損、営業活動によるキャッシュ・フロー,30,Prior1YTDDuration,連結,期間,円
国債等債券売却益、経常収益、銀行業,30,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
借入金、借用金、負債の部、銀行業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
金融商品等受入担保金、負債の部,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
先物取引差入証拠金、その他資産、資産の部、銀行業,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
金融商品等差入担保金、資産の部,30,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
収益及び費用の計上基準 [テキストブロック],29,CurrentYearDuration_NonConsolidatedMember,その他,期間,－
非正規雇用労働者、女性の職業生活における活躍の推進に関する法律の規定に基づき算出、男性労働者の育児休業取得率、提出会社の指標,29,CurrentYearInstant_NonConsolidatedMember,その他,時点,
投資活動によるキャッシュ・フローには、保険事業に係る資産運用業務から生じるキャッシュ・フローを含んでいる旨、保険業 [テキストブロック],29,InterimDuration,その他,期間,－
貸借対照表関係 [テキストブロック],29,CurrentYearDuration_NonConsolidatedMember,その他,期間,－
注記事項－無形資産、要約四半期連結財務諸表（IFRS） [テキストブロック],29,CurrentYTDDuration,その他,期間,－
注記事項－のれん及び無形資産、要約四半期連結財務諸表（IFRS） [テキストブロック],29,CurrentYTDDuration,その他,期間,－
設備関係電子記録債務,28,Prior1YearInstant,連結,時点,円
子会社株式売却損（IFRS）,28,Prior1YearDuration,その他,期間,円
未払廃炉拠出金、固定負債、電気事業,28,Prior1YearInstant,連結,時点,円
受入保証金の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,28,Prior1YTDDuration,連結,期間,円
株式数が増加した理由、保有目的が純投資目的以外の目的であるみなし保有株式の明細、最大保有会社,28,CurrentYearInstant_Row1Member,その他,時点,－
荷造費、販売費及び一般管理費,28,Prior1YTDDuration,連結,期間,円
預け金（現金同等物を除く）の純増（△）減、営業活動によるキャッシュ・フロー、銀行業,28,Prior1InterimDuration,連結,期間,円
仕掛販売用不動産、流動資産（IFRS）,28,Prior1YearInstant,その他,時点,円
原子力発電工事償却準備引当金、特別法上の引当金、電気事業,28,Prior1YearInstant,連結,時点,円
金融派生商品収益、経常収益、銀行業,28,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
定量的な保有効果、保有目的が純投資目的以外の目的であるみなし保有株式の明細、最大保有会社,28,CurrentYearInstant_Row1Member,その他,時点,－
旅費交通費、一般管理費、投資運用業,28,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
役員に対する長期貸付金,28,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
その他の設備、有形固定資産、ガス事業,28,Prior1YearInstant,連結,時点,円
リース解約損、営業活動によるキャッシュ・フロー,28,Prior1YTDDuration,連結,期間,円
保有目的、保有目的が純投資目的以外の目的であるみなし保有株式の明細、最大保有会社,28,CurrentYearInstant_Row1Member,その他,時点,－
原子力発電工事償却準備金引当、電気事業,28,Prior1YTDDuration,連結,期間,円
ゴルフ会員権貸倒引当金繰入額、特別損失,28,Prior1YTDDuration,連結,期間,円
特別目的会社の債務等に関する注記 [テキストブロック],28,CurrentQuarterInstant,その他,時点,－
注記事項－人件費、連結財務諸表（IFRS） [テキストブロック],28,CurrentYearDuration,その他,期間,－
その他保険引受収益、経常収益、保険業,28,Prior1YearDuration,連結,期間,円
投資損失引当金戻入額、特別利益,28,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
その他の特別損益（△は益）、営業活動によるキャッシュ・フロー,28,Prior1YTDDuration,連結,期間,円
企業結合等関係、中間連結財務諸表 [テキストブロック],28,InterimDuration,その他,期間,－
銘柄、投資株式の保有目的を純投資目的から純投資目的以外の目的に変更したもの、最大保有会社,28,CurrentYearInstant_Row1Member,その他,時点,－
貸借対照表計上額、投資株式の保有目的を純投資目的から純投資目的以外の目的に変更したもの、最大保有会社,28,CurrentYearInstant_Row1Member,その他,時点,円
株式数、投資株式の保有目的を純投資目的から純投資目的以外の目的に変更したもの、最大保有会社,28,CurrentYearInstant_Row1Member,その他,時点,
当期製品仕入高、売上原価,28,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
借入金、支払利息（IFRS）,28,Prior1YearDuration,その他,期間,円
役員退職慰労金の支払額、営業活動によるキャッシュ・フロー,28,Prior1YearDuration,連結,期間,円
その他の負債、負債の部、保険業,28,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
事業分離における移転利益、特別利益,28,Prior1YTDDuration,連結,期間,円
設備賃貸費用、営業外費用,28,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
支払備金戻入額、保険業,28,Prior1InterimDuration_NonConsolidatedMember,個別,期間,円
その他の営業外損益（△は益）、営業活動によるキャッシュ・フロー,27,Prior1YTDDuration,連結,期間,円
注記事項－金融費用、連結財務諸表（IFRS） [テキストブロック],27,CurrentYearDuration,その他,期間,－
リース債権の増減額（△は増加）、営業活動によるキャッシュ・フロー,27,Prior1YTDDuration,連結,期間,円
資本金から準備金への振替,27,Prior1YearDuration_CapitalStockMember,連結,期間,円
確定給付資産、非流動資産（IFRS）,26,Prior1YearInstant,その他,時点,円
無形固定資産除却損、営業活動によるキャッシュ・フロー,26,Prior1YearDuration,連結,期間,円
債券貸借取引支払保証金・受入担保金の純増減額、投資活動によるキャッシュ・フロー、保険業,26,Prior1InterimDuration,連結,期間,円
１年以内に期限到来の固定負債、流動負債、ガス事業,26,Prior1YearInstant,連結,時点,円
有形固定資産除売却損（IFRS）,26,Prior1YearDuration,その他,期間,円
事業構造改善引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,26,Prior1YTDDuration,連結,期間,円
会計上の見積りの変更と区別することが困難な会計方針の変更、財務諸表 [テキストブロック],26,CurrentYearDuration,その他,期間,－
その他の収入、営業活動によるキャッシュ・フロー,26,Prior1YTDDuration,連結,期間,円
支払手数料、その他の費用（IFRS）,26,Prior1YearDuration,その他,期間,円
雑損失（IFRS）,26,Prior1YearDuration,その他,期間,円
特別修繕引当金戻入額、特別利益,26,Prior1YTDDuration,連結,期間,円
雇用調整助成金の受取額、営業活動によるキャッシュ・フロー,26,Prior1YearDuration,連結,期間,円
注記事項－営業債権及びその他の債権、要約四半期連結財務諸表（IFRS） [テキストブロック],26,CurrentYTDDuration,その他,期間,－
信託受益権の取得による支出、投資活動によるキャッシュ・フロー,26,Prior1YTDDuration,連結,期間,円
使用済燃料再処理等既発電料受取契約締結分、電気事業営業収益、電気事業,26,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
持分法適用の範囲の変更－非連結子会社 [テキストブロック],26,CurrentYearDuration,その他,期間,－
保証工事引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー,26,Prior1YTDDuration,連結,期間,円
福利厚生費、販売費及び一般管理費（IFRS）,26,Prior1YearDuration,その他,期間,円
設備投資等の概要、自社用資産、リース事業 [テキストブロック],25,FilingDateInstant,その他,時点,－
注記事項－その他の流動負債及びその他の非流動負債、連結財務諸表（IFRS） [テキストブロック],25,CurrentYearDuration,その他,期間,－
注記事項－その他の流動資産及びその他の非流動資産、連結財務諸表（IFRS） [テキストブロック],25,CurrentYearDuration,その他,期間,－
評価損益の合計額、非上場株式以外の株式、保有目的が純投資目的である投資株式、投資株式計上額が次に大きい会社,25,CurrentYearDuration,その他,期間,円
評価損益の合計額、非上場株式、保有目的が純投資目的である投資株式、投資株式計上額が次に大きい会社,25,CurrentYearDuration,その他,期間,円
設備の新設、除却等の計画、賃貸資産、リース事業 [テキストブロック],25,FilingDateInstant,その他,時点,－
海運業収益及び費用明細表 [テキストブロック],25,CurrentYearDuration,その他,期間,－
