項目名,出現回数,コンテキストID,連結・個別,期間・時点,単位
その他、固定負債,16856,Prior1YearInstant,連結,時点,円
貸倒引当金、流動資産、一括控除,16796,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
長期借入金,16524,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
配当性向、経営指標等,16269,Prior4YearDuration_NonConsolidatedMember,その他,期間,
株主総利回り,16247,Prior4YearInstant_NonConsolidatedMember,その他,時点,
株価指数における総利回り,16220,Prior4YearInstant_NonConsolidatedMember,その他,時点,
所有者の住所、自己株式等,16207,CurrentQuarterInstant_Row1Member,その他,時点,－
のれん,16185,Prior1YearInstant,連結,時点,円
所有者の氏名又は名称、自己株式等,16182,CurrentQuarterInstant_Row1Member,その他,時点,－
１株当たり中間配当額、経営指標等,16108,Prior2YearDuration_NonConsolidatedMember,その他,期間,
金融費用（IFRS）,15817,Prior1YearDuration,その他,期間,円
投資有価証券,15792,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
金融収益（IFRS）,15679,Prior1YearDuration,その他,期間,円
貸倒引当金、投資その他の資産、一括控除,15507,Prior1YearInstant,連結,時点,円
配当に関する注記 [テキストブロック],15403,Prior1YTDDuration_NonConsolidatedMember,その他,期間,－
保有目的、業務提携等の概要、定量的な保有効果及び株式数が増加した理由、保有目的が純投資目的以外の目的である特定投資株式の明細、提出会社,15117,CurrentYearInstant_Row1Member,その他,時点,－
現金及び現金同等物（IFRS）,14911,Prior1YearInstant,その他,時点,円
その他、持分変動計算書（IFRS）,14736,Prior1YTDDuration_CapitalSurplusIFRSMember,その他,期間,円
新株の発行,14485,Prior1YearDuration_NonConsolidatedMember_CapitalStockMember,個別,期間,円
賞与引当金,14451,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
短期借入金,14439,Prior1YearInstant,連結,時点,円
包括利益,14371,Prior1YTDDuration,連結,期間,円
親会社株主に係る包括利益、包括利益,14370,Prior1YTDDuration,連結,期間,円
繰延税金資産,13776,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
その他、無形固定資産,13661,Prior1YearInstant,連結,時点,円
その他の包括利益,13533,Prior1YTDDuration,連結,期間,円
支配継続子会社に対する持分変動、持分変動計算書（IFRS）,13258,Prior1YTDDuration_CapitalSurplusIFRSMember,その他,期間,円
土地,12707,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
資産（IFRS）,12661,Prior1YearInstant,その他,時点,円
非支配株主に係る包括利益、包括利益,12330,Prior1YTDDuration,連結,期間,円
受取配当金、営業外収益,12224,Prior1YTDDuration,連結,期間,円
セグメント利益（△損失）（IFRS）,12044,Prior1YTDDuration_jpcrp040300-q2r_E01873-000PrintingSolutionsSegmentReportableSegmentMember,その他,期間,円
その他有価証券評価差額金（税引後）、その他の包括利益,12043,Prior1YTDDuration,連結,期間,円
減価償却費及び償却費、営業費用（IFRS）,11790,Prior1YearDuration_jpcrp030000-asr_E31030-000RandDOutsourcingBusinessReportableSegmentMember,その他,期間,円
未払金,11540,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
為替換算調整勘定,11413,Prior1YearInstant,連結,時点,円
仕掛品,11404,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
親会社の所有者、当期利益（△損失）（IFRS）,11336,Prior1YTDDuration,その他,期間,円
内容、発行済株式、株式の総数等,11285,FilingDateInstant_OrdinaryShareMember,その他,時点,－
種類、発行済株式、株式の総数等,11279,FilingDateInstant_OrdinaryShareMember,その他,時点,－
上場金融商品取引所名又は登録認可金融商品取引業協会名,11273,FilingDateInstant_OrdinaryShareMember,その他,時点,－
為替換算調整勘定（税引後）、その他の包括利益,11239,Prior1YTDDuration,連結,期間,円
基本的１株当たり利益又は損失（△）（IFRS）、経営指標等,11169,Prior1YTDDuration,その他,期間,
非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,11078,Prior1YearDuration,連結,期間,円
事務連絡者氏名、最寄りの連絡場所、表紙,11057,FilingDateInstant,その他,時点,－
当会計期間終了日、DEI,11056,FilingDateInstant,その他,時点,－
当事業年度終了日、DEI,11056,FilingDateInstant,その他,時点,－
当会計期間の種類、DEI,11056,FilingDateInstant,その他,時点,－
記載事項訂正のフラグ、DEI,11056,FilingDateInstant,その他,時点,－
当事業年度開始日、DEI,11056,FilingDateInstant,その他,時点,－
別記事業（個別）、DEI,11056,FilingDateInstant,その他,時点,－
別記事業（連結）、DEI,11056,FilingDateInstant,その他,時点,－
訂正の有無、DEI,11056,FilingDateInstant,その他,時点,－
訂正対象書類の書類管理番号、DEI,11056,FilingDateInstant,その他,時点,－
発行済株式総数、資本金等の推移 [テキストブロック],11056,FilingDateInstant,その他,時点,－
株式の総数 [テキストブロック],11056,FilingDateInstant,その他,時点,－
XBRL訂正のフラグ、DEI,11056,FilingDateInstant,その他,時点,－
最寄りの連絡場所、表紙,11056,FilingDateInstant,その他,時点,－
ファンド名称（英語表記）、DEI,11056,FilingDateInstant,その他,時点,－
その他の新株予約権等の状況 [テキストブロック],11056,FilingDateInstant,その他,時点,－
ストックオプション制度の内容 [テキストブロック],11056,FilingDateInstant,その他,時点,－
前事業年度終了日、DEI,11056,FilingDateInstant,その他,時点,－
縦覧に供する場所、表紙 [テキストブロック],11056,FilingDateInstant,その他,時点,－
EDINETコード、DEI,11056,FilingDateInstant,その他,時点,－
府令、DEI,11056,FilingDateInstant,その他,時点,－
