Code,mean,count,std,min,max
6701,0.34005603708884885,7766,0.2276003157099046,-0.712176979,0.844367087
8876,0.33983476728825623,281,0.24098812068671344,-0.602078199,0.792390168
1878,0.3392552374283854,2304,0.22002587395804524,-0.732158542,0.822193146
4168,0.33859677300760455,263,0.241282757956419,-0.582172215,0.811429262
9553,0.3374026449319149,235,0.24104178088152683,-0.405182689,0.794431269
2978,0.33549084053977274,176,0.2303301679094674,-0.698187411,0.821182966
4495,0.33510273693258424,89,0.27448400237088755,-0.403701752,0.767696381
9252,0.33429397706914893,752,0.23278868572480088,-0.689527094,0.824602604
3418,0.3337865732368421,304,0.21449201958628664,-0.584251285,0.689994156
5888,0.32977866801219513,82,0.2709525340231573,-0.450984001,0.775237501
2726,0.32907144173454544,825,0.21203332619540072,-0.671559632,0.837043405
9005,0.3288944844761792,8438,0.23441937861234602,-0.706213713,0.845399976
6182,0.3288556053809524,126,0.2540637288241929,-0.576541305,0.774655759
5572,0.3275508045060976,164,0.20471934349675122,-0.478236258,0.65118134
4498,0.3274724998498818,846,0.2322350398649258,-0.498791248,0.780769527
4686,0.3271611383153153,444,0.21688714693768246,-0.508293629,0.797778308
2438,0.32710381958153845,650,0.23195285043709724,-0.593254149,0.837603867
3777,0.3269160383095238,84,0.2456261827948559,-0.445596397,0.720738828
2371,0.3255408899123661,1027,0.2310475130834869,-0.671257973,0.819217205
5137,0.32543501051713397,321,0.22175874865275746,-0.550666392,0.687807918
4270,0.3250232708787879,33,0.29332732488416585,-0.508844137,0.813286901
4425,0.3248420988866397,247,0.22319830506010563,-0.496643484,0.773081481
6232,0.32427373258620695,464,0.2593780981765924,-0.672613323,0.767268479
1436,0.32311488297087376,103,0.2671184493963322,-0.606014848,0.739623666
4431,0.32130662362258955,363,0.24191563076885428,-0.428534687,0.739844859
4377,0.3210168617490843,1092,0.2514231319130312,-0.651335239,0.839636385
3132,0.3202957620646766,201,0.27642453740531076,-0.701229393,0.788470209
5574,0.3202784047545455,110,0.23517448055109966,-0.615510523,0.733733654
9020,0.32008467077131514,8562,0.26706492575246876,-0.707975924,0.834185958
9142,0.3197806727977925,2265,0.250011678712461,-0.674731374,0.794377029
4371,0.3196504890597015,67,0.2831477241359637,-0.556363106,0.840129137
9719,0.31802811374108525,1290,0.2259557453070822,-0.712160408,0.828649163
2154,0.3179770829765258,213,0.22794028487368773,-0.677877128,0.66491586
