code,Sector,Industry,MarketCap
9507,Utilities,Utilities - Regulated Electric,323641147392
9508,Utilities,Utilities - Independent Power Producers,830443225088
9509,Utilities,Utilities - Renewable,234412244992
9513,Utilities,Utilities - Renewable,592934076416
9531,Utilities,Utilities - Regulated Gas,2193526358016
9532,Utilities,Utilities - Regulated Gas,2135993221120
9553,Technology,Software - Application,19549949952
9556,Industrials,Consulting Services,35581898752
9558,Technology,Software - Infrastructure,8973588480
9560,Consumer Defensive,Education & Training Services,12212934656
9561,Technology,Software - Application,3626150400
9602,Communication Services,Entertainment,1325508853760
9684,Communication Services,Electronic Gaming & Multimedia,991726206976
9697,Communication Services,Electronic Gaming & Multimedia,1516287164416
9719,Technology,Information Technology Services,1773740883968
9735,Industrials,Security & Protection Services,2318028505088
9744,Industrials,Staffing & Employment Services,283889336320
9759,Technology,Software - Application,264727461888
9766,Communication Services,Electronic Gaming & Multimedia,2887355465728
9843,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1455589687296
9962,Industrials,Tools & Accessories,710616875008
9983,Consumer Cyclical,Apparel Retail,19581875781632
9984,Communication Services,Telecom Services,25400587583488
9989,Healthcare,Pharmaceutical Retailers,492264030208
