DocID,FinBERT_Score,TextLength
S100CBMB,0.2998995968809157,19051
S100CBMC,0.22613638833265853,16466
S100CBMR,0.19671026152349258,28993
S100CBPQ,0.2509762715076057,8049
S100CBQ2,0.16219509440298016,43853
S100CBQ6,0.28177986284312995,26961
S100CBQF,0.2007752132342487,21313
S100CBQX,0.2781914926825031,10655
S100CBRP,0.1585910245502258,15803
S100CBRT,0.261015338357538,12915
S100CBSB,0.3397646204761739,18285
S100CBSR,0.17071262990463187,42817
S100CBT1,0.23180519849061965,11724
S100CBTQ,0.36159683331706616,12134
S100CBU4,0.1961785608377212,13355
S100CBVN,0.32015317543706995,15921
S100CBW2,0.282301307945955,22207
S100CBWA,0.28957176487892866,12681
S100CBWQ,0.23927657831874158,20093
S100CBXF,0.10338041373593285,21232
S100CBXG,0.34161018811423205,24773
S100CBXK,0.24624857294691516,18210
S100CBYH,0.21689333353832269,18211
S100CBYN,0.2800426785220472,15336
S100CBZN,0.22718551619486374,14007
S100CBZO,0.10994796996396747,40942
S100CBZV,0.35288306394153657,15868
S100CC0F,0.29863221671373125,14938
S100CC0S,0.2687773455361851,20311
S100CC0T,0.3018018961980425,16804
S100CC25,0.2888512640509387,16194
S100CC38,0.15356083062123244,16445
S100CC3M,0.29463262763534875,15951
S100CC3T,0.2716903121642817,17818
S100CC5P,0.28520452673104324,30423
S100CC60,0.2528999506642944,13327
S100CC61,0.3203182764765289,20463
S100CC6A,0.2362335341379923,9937
S100CC83,0.28146323074247237,12445
S100CC95,0.2041658615975669,18618
S100CC9I,0.16950774151417944,13257
S100CCA7,0.207857035476752,22751
S100CCBK,0.25850459048097285,12764
S100CCBQ,0.23060220114029614,37223
S100CCBW,0.20653132983268455,24075
S100CCCE,0.2182620033169642,46003
S100CCCY,0.11217794457419974,14054
S100CCGA,0.2539061848074198,15081
S100CCGI,0.2508715969743207,14520
S100CCI7,0.12666386152532969,12447
S100CCIS,0.2608798703884486,18276
S100CCK6,0.27124753249809147,13898
S100CCK8,0.21078420014350446,17244
S100CCM9,0.28641261177486327,34336
S100CCP9,0.18959080896109615,12459
S100CCPF,0.2607784011975081,35835
S100CCR4,0.26005289232097384,25235
S100CCRU,0.29373264344758354,14493
S100CCRZ,0.2594296550536055,13653
S100CCS8,0.1110190571612352,26565
S100CCSE,0.1515030622217428,203651
S100CCTC,0.2629822419930092,17133
S100CCTF,0.27810550172989434,22568
S100CCTV,0.25011997538233044,34814
S100CCU2,0.22372704069305183,15368
S100CCUB,0.19014098546535207,15301
S100CCUR,0.27155641770133604,23668
S100CCVQ,0.19840066229095835,140170
S100CCW5,0.26856737912655726,33815
S100CCW9,0.1958581126845357,19987
S100CCX5,0.22696577708813406,18742
S100CCX8,0.22001794192262672,19808
S100CCZ3,0.2801479948684573,13138
