code,name,is_nikkei_225,is_topix_core30,is_topix_100,is_jpx_nikkei_400,is_growth_core,is_growth_250
4816,東映アニメーション,0,0,0,1,0,0
4882,ペルセウスプロテオミクス,0,0,0,0,0,1
4888,ステラファーマ,0,0,0,0,0,1
4890,坪田ラボ,0,0,0,0,0,1
4891,ティムス,0,0,0,0,0,1
4893,ノイルイミューン・バイオテック,0,0,0,0,0,1
4894,クオリプス,0,0,0,0,0,1
4896,ケイファーマ,0,0,0,0,0,1
4901,富士フイルム,1,0,1,1,0,0
4902,コニカミノル,1,0,0,0,0,0
4911,資生堂,1,0,1,0,0,0
4912,ライオン,0,0,0,1,0,0
4967,小林製薬,0,0,0,1,0,0
4978,リプロセル,0,0,0,0,0,1
4980,デクセリアルズ,0,0,0,1,0,0
5019,出光興産,1,0,0,1,0,0
5020,ＥＮＥＯＳ,1,0,1,1,0,0
5021,コスモエネルギーホールディングス,0,0,0,1,0,0
5026,トリプルアイズ,0,0,0,0,0,1
5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,0,0,0,0,0,1
5032,ＡＮＹＣＯＬＯＲ,0,0,0,1,0,0
5034,ｕｎｅｒｒｙ,0,0,0,0,0,1
5038,ｅＷｅＬＬ,0,0,0,0,0,1
5076,インフロニア・ホールディングス,0,0,0,1,0,0
5101,浜ゴム,1,0,0,1,0,0
5105,ＴＯＹＯ　ＴＩＲＥ,0,0,0,1,0,0
5108,ブリヂストン,1,0,1,1,0,0
5129,ＦＩＸＥＲ,0,0,0,0,0,1
5132,ｐｌｕｓｚｅｒｏ,0,0,0,0,0,1
5136,ｔｒｉｐｌａ,0,0,0,0,0,1
5137,スマートドライブ,0,0,0,0,0,1
5139,オープンワーク,0,0,0,0,0,1
5201,ＡＧＣ,1,0,0,0,0,0
5214,日電硝,1,0,0,0,0,0
5233,太平洋セメ,1,0,0,0,0,0
5243,ｎｏｔｅ,0,0,0,0,0,1
5244,ｊｉｇ．ｊｐ,0,0,0,0,0,1
5246,ＥＬＥＭＥＮＴＳ,0,0,0,0,0,1
5248,テクノロジーズ,0,0,0,0,0,1
5253,カバー,0,0,0,0,1,1
5254,Ａｒｅｎｔ,0,0,0,0,0,1
5258,トランザクション・メディア・ネットワークス,0,0,0,0,0,1
5301,東海カーボン,1,0,0,0,0,0
5332,ＴＯＴＯ,1,0,0,1,0,0
5333,ガイシ,1,0,0,1,0,0
5334,日本特殊陶業,0,0,0,1,0,0
