name,Code,データ有無,データ開始日,データ終了日,レコード数,営業日カバレッジ (%),欠損項目
イビデン,4062,有り,2018-05-30,2025-09-26,1796,93.88,無し
信越化,4063,有り,2018-05-30,2025-09-26,1796,93.88,無し
ラキール,4074,有り,2021-12-23,2025-09-26,920,93.69,無し
エア・ウォーター,4088,有り,2018-05-30,2025-09-26,1796,93.88,無し
日本酸素ホールディングス,4091,有り,2018-05-30,2025-09-26,1796,93.88,無し
協和キリン,4151,有り,2018-05-30,2025-09-26,1796,93.88,無し
プレイド,4165,有り,2021-05-31,2025-09-26,1061,93.89,無し
ヤプリ,4168,有り,2021-06-02,2025-09-26,1059,93.88,無し
ＥＮＥＣＨＡＮＧＥ,4169,有り,2021-06-04,2025-09-26,1057,93.87,無し
ｃｏｌｙ,4175,有り,2021-08-04,2025-09-26,1016,93.81,無し
ココナラ,4176,有り,2021-08-26,2025-09-26,1001,93.81,無し
三菱瓦斯化学,4182,有り,2018-05-30,2025-09-26,1796,93.88,無し
三井化学,4183,有り,2018-05-30,2025-09-26,1796,93.88,無し
東京応化工業,4186,有り,2018-05-30,2025-09-26,1796,93.88,無し
三菱ケミＧ,4188,有り,2018-05-30,2025-09-26,1796,93.88,無し
スパイダープラス,4192,有り,2021-09-06,2025-09-26,994,93.77,無し
ビジョナル,4194,有り,2021-10-01,2025-09-26,977,93.85,無し
ダイセル,4202,有り,2018-05-30,2025-09-26,1796,93.88,無し
住友ベークライト,4203,有り,2018-05-30,2025-09-26,1796,93.88,無し
積水化学工業,4204,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＵＢＥ,4208,有り,2018-05-30,2025-09-26,1796,93.88,無し
網屋,4258,有り,2022-06-03,2025-09-26,814,94.0,無し
エクサウィザーズ,4259,有り,2022-06-06,2025-09-26,813,93.99,無し
サスメド,4263,有り,2022-06-07,2025-09-26,812,93.98,無し
セキュア,4264,有り,2022-06-09,2025-09-26,810,93.97,無し
ＢｅｅＸ,4270,有り,2022-08-02,2025-09-26,773,93.81,無し
野村総研,4307,有り,2018-05-30,2025-09-26,1796,93.88,無し
Ｊストリーム,4308,有り,2018-05-30,2025-09-26,1796,93.88,無し
電通グループ,4324,有り,2018-05-30,2025-09-26,1796,93.88,無し
コアコンセプト・テクノロジー,4371,有り,2022-03-02,2025-09-26,876,93.89,無し
ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,4374,有り,2022-03-07,2025-09-26,873,93.87,無し
セーフィー,4375,有り,2022-03-08,2025-09-26,872,93.86,無し
くふうカンパニー,4376,有り,2022-03-10,2025-09-26,870,93.85,無し
ワンキャリア,4377,有り,2022-03-16,2025-09-26,866,93.82,無し
メルカリ,4385,有り,2018-11-15,2025-09-26,1675,93.47,無し
プロパティデータバンク,4389,有り,2018-11-23,2025-09-26,1669,93.45,無し
バンク・オブ・イノベーション,4393,有り,2018-12-20,2025-09-26,1650,93.38,無し
ＡＤＥＫＡ,4401,有り,2018-05-30,2025-09-26,1796,93.88,無し
日油,4403,有り,2018-05-30,2025-09-26,1796,93.88,無し
ボードルア,4413,有り,2022-05-12,2025-09-26,830,94.1,無し
フレクト,4414,有り,2022-05-24,2025-09-26,822,94.05,無し
グローバルセキュリティエキスパート,4417,有り,2022-06-01,2025-09-26,816,94.01,無し
ＪＤＳＣ,4418,有り,2022-06-01,2025-09-26,816,94.01,無し
Ｆｉｎａｔｅｘｔホールディングス,4419,有り,2022-06-03,2025-09-26,814,94.0,無し
Ｋｕｄａｎ,4425,有り,2019-06-05,2025-09-26,1543,93.63,無し
スマレジ,4431,有り,2019-08-08,2025-09-26,1498,93.51,無し
カオナビ,4435,無し,,,0,0.0,N/A
ミンカブ・ジ・インフォノイド,4436,有り,2019-08-28,2025-09-26,1485,93.51,無し
バルテス・ホールディングス,4442,有り,2019-11-07,2025-09-26,1439,93.62,無し
ｋｕｂｅｌｌ,4448,有り,2020-03-05,2025-09-26,1361,93.73,無し
花王,4452,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＨＥＮＮＧＥ,4475,有り,2020-03-19,2025-09-26,1351,93.69,無し
ＢＡＳＥ,4477,有り,2020-04-06,2025-09-26,1340,93.71,無し
フリー,4478,有り,2020-06-01,2025-09-26,1304,93.81,無し
ウィルズ,4482,有り,2020-06-02,2025-09-26,1303,93.81,無し
ＪＴＯＷＥＲ,4485,無し,,,0,0.0,N/A
ＡＩ　ｉｎｓｉｄｅ,4488,有り,2020-06-10,2025-09-26,1297,93.78,無し
ビザスク,4490,有り,2020-08-18,2025-09-26,1251,93.78,無し
サイバーセキュリティクラウド,4493,有り,2020-09-02,2025-09-26,1240,93.73,無し
アイキューブドシステムズ,4495,有り,2020-12-24,2025-09-26,1164,93.72,無し
サイバートラスト,4498,有り,2021-09-27,2025-09-26,981,93.88,無し
武田,4502,有り,2018-05-30,2025-09-26,1796,93.88,無し
アステラス,4503,有り,2018-05-30,2025-09-26,1796,93.88,無し
住友ファーマ,4506,有り,2018-05-30,2025-09-26,1796,93.88,無し
塩野義,4507,有り,2018-05-30,2025-09-26,1796,93.88,無し
日本新薬,4516,有り,2018-05-30,2025-09-26,1796,93.88,無し
中外薬,4519,有り,2018-05-30,2025-09-26,1796,93.88,無し
エーザイ,4523,有り,2018-05-30,2025-09-26,1796,93.88,無し
ロート製薬,4527,有り,2018-05-30,2025-09-26,1796,93.88,無し
小野薬品工業,4528,有り,2018-05-30,2025-09-26,1796,93.88,無し
テルモ,4543,有り,2018-05-30,2025-09-26,1796,93.88,無し
アンジェス,4563,有り,2018-05-30,2025-09-26,1796,93.88,無し
オンコセラピー・サイエンス,4564,有り,2018-05-30,2025-09-26,1796,93.88,無し
第一三共,4568,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＮＡＮＯ　ＭＲＮＡ,4571,有り,2018-05-30,2025-09-26,1796,93.88,無し
カルナバイオサイエンス,4572,有り,2018-05-30,2025-09-26,1796,93.88,無し
キャンバス,4575,有り,2018-05-30,2025-09-26,1796,93.88,無し
大塚ＨＤ,4578,有り,2018-05-30,2025-09-26,1796,93.88,無し
ラクオリア創薬,4579,有り,2018-05-30,2025-09-26,1796,93.88,無し
シンバイオ製薬,4582,有り,2018-05-30,2025-09-26,1796,93.88,無し
ペプチドリーム,4587,有り,2018-05-30,2025-09-26,1796,93.88,無し
オンコリスバイオファーマ,4588,有り,2018-05-30,2025-09-26,1796,93.88,無し
サンバイオ,4592,有り,2018-05-30,2025-09-26,1796,93.88,無し
ヘリオス,4593,有り,2018-05-30,2025-09-26,1796,93.88,無し
ソレイジア・ファーマ,4597,有り,2018-05-30,2025-09-26,1796,93.88,無し
ステムリム,4599,有り,2020-01-22,2025-09-26,1390,93.73,無し
日本ペイントホールディングス,4612,有り,2018-05-30,2025-09-26,1796,93.88,無し
関西ペイント,4613,有り,2018-05-30,2025-09-26,1796,93.88,無し
