DocID,NetSales,OperatingIncome,Method
S100SSHO,250255000000.0,16937000000.0,Rule
S100R30N,338831000000.0,15326000000.0,Rule
S100L1HG,657434000000.0,4204000000.0,Rule
S100N1Z2,4974378000.0,507548000.0,Rule
S100P0QS,149302000000.0,9820000000.0,Rule
S100P0QI,2151139000.0,-222967000.0,Rule
S100SSHV,19225271000.0,3491375000.0,Rule
S100US1V,3006614000.0,476261000.0,Rule
S100L1K7,8318190000.0,-1380741000.0,Rule
S100R30V,535285000000.0,28027000000.0,Rule
S100N20J,3290861000.0,350354000.0,Rule
S100SSI9,14813126000.0,615379000.0,Rule
S100N29V,4550471000.0,1066128000.0,Rule
S100US38,6335381000.0,1204242000.0,Rule
S100L1K9,2192768000.0,313764000.0,Rule
S100R314,269261000000.0,9519445000000.0,Rule
S100P0RA,167537000000.0,28079000000.0,Rule
S100L1LQ,314179000.0,-1674652000.0,Rule
S100R324,2832885000.0,822883000.0,Rule
S100SSIE,682951000000.0,105519000000.0,Rule
S100P0SM,135598000000.0,8202000000.0,Rule
S100SSJS,7716507000.0,1735918000.0,Rule
S100US3I,2655278000.0,171232000.0,Rule
S100N2EE,2531227000.0,-153497000.0,Rule
S100SSK6,520589000000.0,47679000000.0,Rule
S100R32B,563295000000.0,32104000000.0,Rule
S100L1M4,4916896000.0,358512000.0,Rule
S100P0TN,2423982000.0,-33654000.0,Rule
S100N2GH,1921268000.0,432515000.0,Rule
S100R32F,618543000000.0,16640000000.0,Rule
S100L1PB,8288148000.0,803226000.0,Rule
S100US41,72792000000.0,-5658000000.0,Rule
S100P0VD,2111418000.0,-167629000.0,Rule
S100N2HA,10869354000.0,522699000.0,Rule
S100R34G,107019000000.0,10063000000.0,Rule
S100SSK8,499550000.0,-236630000.0,Rule
S100P0VO,874658000.0,109257000.0,Rule
S100US7A,6672991000.0,1094025000.0,Rule
S100US86,108851000000.0,15071000000.0,Rule
S100L1PF,5411000000.0,-5163000000.0,Rule
S100SSKF,85533000000.0,6123000000.0,Rule
S100L1QK,271214000000.0,12001000000.0,Rule
S100P0VZ,3509490000.0,306065000.0,Rule
S100R34Z,87457000000.0,28669000000.0,Rule
S100R355,277015000000.0,17372000000.0,Rule
S100SSKQ,8744991000.0,516542000.0,Rule
S100US97,5443919000.0,949916000.0,Rule
S100N2I8,169026000000.0,34318000000.0,Rule
S100SSKR,223986000000.0,257094000000.0,Rule
S100L1RJ,328784000000.0,-3953000000.0,Rule
S100P0W6,355617000.0,-488639000.0,Rule
S100US1X,,,Rule
S100US9H,1563672000.0,430126000.0,Rule
S100N2N2,683033000.0,-1080648000.0,Rule
S100US0V,,,Rule
S100L1UZ,505041000000.0,-120000000.0,Rule
S100SSKZ,833003000000.0,69712000000.0,Rule
S100US9I,13718918000.0,-79002000.0,Rule
S100N2GM,,-4739819000.0,Rule
S100USBP,6348693000.0,1546628000.0,Rule
S100P0WA,15092641000.0,1558726000.0,Rule
S100N2R4,1371342000000.0,-1800000000.0,Rule
S100N2VD,667701000.0,1409686000.0,Rule
S100R36C,1629832000000.0,5251271000000.0,Rule
S100P0YV,751000000.0,-174000000.0,Rule
S100R389,284135000000.0,110413000000.0,Rule
S100N33H,2129218000.0,-807587000.0,Rule
S100SSL7,173887000000.0,11238000000.0,Rule
S100P10V,1411120000.0,88092000.0,Rule
S100SSM7,7637627000.0,789399000.0,Rule
S100R38K,5558022000.0,736492000.0,Rule
S100L1WE,199466000.0,-719521000.0,Rule
S100L1WW,3432574000.0,562287000.0,Rule
S100USCG,1359041000.0,-167720000.0,Rule
S100R38M,4641644000000.0,350551000000.0,Rule
S100SSM8,76996000000.0,20678000000.0,Rule
S100L1YL,288332000000.0,31290000000.0,Rule
S100USEF,5266105000.0,971413000.0,Rule
S100R38W,238721000000.0,13846000000.0,Rule
S100P12A,7955574000.0,689150000.0,Rule
S100N34M,22743496000.0,8499760000.0,Rule
S100USHB,196326000000.0,41781000000.0,Rule
S100SSMQ,500300000000.0,78575000000.0,Rule
S100P12P,28352000000.0,5893000000.0,Rule
S100R3A2,3141006000.0,187874000.0,Rule
S100L203,378040000000.0,82701000000.0,Rule
S100N3GR,7089506000.0,589336000.0,Rule
S100R39F,252338000000.0,10228000000.0,Rule
S100SSN1,1884907000.0,356235000.0,Rule
S100USI4,2912828000.0,603368000.0,Rule
S100P12W,828722000.0,2965000.0,Rule
S100N395,810540000000.0,101103000000.0,Rule
S100L1ZE,523727000000.0,37879000000.0,Rule
S100L25H,41148000000.0,-865000000.0,Rule
S100SSNL,258875000000.0,24134000000.0,Rule
S100R3AQ,2458141000000.0,190495000000.0,Rule
S100P130,232150000000.0,23522000000.0,Rule
S100N3XC,14924138000.0,5233890000.0,Rule
S100USIT,4729050000.0,-251884000.0,Rule
S100P12X,405371000.0,-59133000.0,Rule
S100SSNV,660174000000.0,41862000000.0,Rule
S100N3ZX,3752508000.0,646382000.0,Rule
S100P138,225080000000.0,19166000000.0,Rule
S100R3B5,1241086000000.0,115408000000.0,Rule
S100L27A,2424339000.0,327164000.0,Rule
S100L25Y,117585000000.0,15589000000.0,Rule
S100N4D6,4399103000.0,472756000.0,Rule
S100N43K,7769472000.0,575194000.0,Rule
S100SSO8,476522000000.0,14801000000.0,Rule
S100R3C9,2707217000.0,1280928000.0,Rule
S100SSOH,229938000000.0,39868000000.0,Rule
S100P15S,1031105000.0,-874276000.0,Rule
S100L27K,51545000000.0,37196000000.0,Rule
S100L283,187080000000.0,19694000000.0,Rule
S100SSON,1270877000.0,-45559000.0,Rule
S100P16I,6703658000.0,-214513000.0,Rule
S100N4FX,4844887000.0,380100000.0,Rule
S100R3CW,39572000000.0,4025000000.0,Rule
S100R3F2,4070609000.0,1085825000.0,Rule
S100R3DF,588159000000.0,56307000000.0,Rule
S100N4IA,5444810000.0,170616000.0,Rule
S100SSOQ,360476000000.0,47601000000.0,Rule
S100N4IF,29499898000.0,1009316000.0,Rule
S100P17D,114965000000.0,16260000000.0,Rule
S100L2A1,157337000000.0,19607000000.0,Rule
S100L2B8,948168000.0,-2186980000.0,Rule
S100SSPE,451299000000.0,31808000000.0,Rule
S100R3GK,1375589000000.0,10109000000.0,Rule
S100P17L,1740366000.0,379956000.0,Rule
S100L2DY,27000000.0,-4154000000.0,Rule
S100N4KS,42799000000.0,3889000000.0,Rule
S100R3GX,336492000000.0,62085000000.0,Rule
S100SSPL,747889000000.0,59551000000.0,Rule
S100P18O,42590000000.0,14312000000.0,Rule
S100L2ED,347552000000.0,25625000000.0,Rule
S100P169,,551430000.0,Rule
S100R3HZ,88530000000.0,3529000000.0,Rule
S100N4MO,606159000000.0,107968000000.0,Rule
S100SSQG,2630461000000.0,612692000000.0,Rule
S100P18X,7778413000.0,882726000.0,Rule
S100N4MP,11259824000.0,275100000.0,Rule
S100USRP,,,Rule
S100UT39,,,Rule
S100L2ET,454000000.0,-3035000000.0,Rule
S100SSQI,135840000000.0,12858000000.0,Rule
S100R3K2,3047241000.0,945589000.0,Rule
S100N4TI,240804000000.0,6921000000.0,Rule
S100P19V,1999761000.0,-672762000.0,Rule
S100L2GN,1153196000.0,169533000.0,Rule
S100SSR1,286491000000.0,24046000000.0,Rule
S100UTSJ,661677000000.0,56135000000.0,Rule
S100UT66,,,Rule
S100N537,3130354000.0,101241000.0,Rule
S100UTTT,81468085000.0,-426761000.0,Rule
S100R3K7,632137000000.0,136140000000.0,Rule
S100P1AT,856387000.0,131842000.0,Rule
S100UTCL,,,Rule
S100L2GU,86165000000.0,-8474000000.0,Rule
S100P1BW,3378934000.0,268764000.0,Rule
S100UT7X,,,Rule
S100R3KR,5268794000000.0,52383000000.0,Rule
S100SSRW,4511564000000.0,731933000000.0,Rule
S100N56T,436817000000.0,38785000000.0,Rule
S100L2H1,64044000000.0,7115000000.0,Rule
S100SST0,1829408000000.0,71369000000.0,Rule
S100R3LA,142051000000.0,16921000000.0,Rule
S100UTID,,,Rule
S100N5AG,462512000000.0,22709000000.0,Rule
S100P1EL,218207000000.0,17688000000.0,Rule
S100SSTB,57207000000.0,21170000000.0,Rule
S100R3LU,3429519000000.0,406784000000.0,Rule
S100L2I7,1255499000000.0,-30647000000.0,Rule
S100SST5,3728740000000.0,93785000000.0,Rule
S100N5CC,209038000000.0,6696000000.0,Rule
S100L2KO,683914000000.0,39710000000.0,Rule
S100UTOD,,,Rule
S100P1F0,8154817000.0,1004668000.0,Rule
S100UTRZ,,,Rule
S100L2K1,87096000000.0,14141000000.0,Rule
